clientid,name,Publisher taxonomyid,Publisher taxonomytext,globaltaxonomyid,Global taxonomytext,dist,,total:,673,,accurate:,423,,near:,123,,far:,127
303,OfficeDepot,3131733,"Technology|Software|Antivirus, Security & Utilities Software|System Maintenance Software",153685,Software|Computer Software|Computer Utilities & Maintenance,near,,,,,,,,,,,,
303,OfficeDepot,3131732,"Technology|Software|Antivirus, Security & Utilities Software|Utilities Software",153685,Software|Computer Software|Computer Utilities & Maintenance,,,,,,,,,,,,,
303,OfficeDepot,3130148,Technology|Software|Office & Business Software,153683,Software|Computer Software|Business & Productivity Software,,,,,,,,,,,,,
303,OfficeDepot,3130150,Technology|Software|Office & Business Software|File Conversion Software,153683,Software|Computer Software|Business & Productivity Software,near,,,,,,,,,,,,
303,OfficeDepot,3129687,Technology|Software|Office & Business Software|POS Software,153683,Software|Computer Software|Business & Productivity Software,,,,,,,,,,,,,
303,OfficeDepot,3130149,Technology|Software|Office & Business Software|Project Management Software,153683,Software|Computer Software|Business & Productivity Software,near,,,,,,,,,,,,
303,OfficeDepot,3130588,Technology|Software|Office & Business Software|Voice Recognition Software,153683,Software|Computer Software|Business & Productivity Software,near,,,,,,,,,,,,
303,OfficeDepot,3130166,"Technology|Software|Antivirus, Security & Utilities Software",153682,Software|Computer Software|Antivirus & Security Software,,,,,,,,,,,,,
303,OfficeDepot,3130167,"Technology|Software|Antivirus, Security & Utilities Software|Antivirus Software",153682,Software|Computer Software|Antivirus & Security Software,,,,,,,,,,,,,
303,OfficeDepot,3131730,"Technology|Software|Antivirus, Security & Utilities Software|Backup Software",153682,Software|Computer Software|Antivirus & Security Software,,,,,,,,,,,,,
303,OfficeDepot,3130168,"Technology|Software|Antivirus, Security & Utilities Software|Internet Security Software",153682,Software|Computer Software|Antivirus & Security Software,,,,,,,,,,,,,
303,OfficeDepot,3130143,Technology|Software,153681,Software|Computer Software,,,,,,,,,,,,,
303,OfficeDepot,3131280,Technology|Software|Design & Illustration Software|Software Licensing,153681,Software|Computer Software,near,,,,,,,,,,,,
303,OfficeDepot,3130084,Technology|Office Machines|Paper-Folding Machines,153647,Office Supplies|Paper Handling|Paper Folding Machines,,,,,,,,,,,,,
303,OfficeDepot,3130085,Technology|Office Machines|Paper-Folding Machines|Paper-Folding Machines,153647,Office Supplies|Paper Handling|Paper Folding Machines,,,,,,,,,,,,,
303,OfficeDepot,3130097,Technology|Office Machines|Typewriters,153618,Office Supplies|Office Equipment|Typewriters,,,,,,,,,,,,,
303,OfficeDepot,3130100,Technology|Office Machines|Typewriters|Typewriters,153618,Office Supplies|Office Equipment|Typewriters,,,,,,,,,,,,,
303,OfficeDepot,3130086,Technology|Office Machines|Shredders,153615,Office Supplies|Office Equipment|Office Shredders,,,,,,,,,,,,,
303,OfficeDepot,3130087,Technology|Office Machines|Shredders|Commercial Shredders,153615,Office Supplies|Office Equipment|Office Shredders,near,,,,,,,,,,,,
303,OfficeDepot,3130088,Technology|Office Machines|Shredders|Industrial Shredders,153615,Office Supplies|Office Equipment|Office Shredders,near,,,,,,,,,,,,
303,OfficeDepot,3130089,Technology|Office Machines|Shredders|Personal/Home Office Shredders,153615,Office Supplies|Office Equipment|Office Shredders,,,,,,,,,,,,,
303,OfficeDepot,3130090,Technology|Office Machines|Shredders|Shredder Supplies,153615,Office Supplies|Office Equipment|Office Shredders,near,,,,,,,,,,,,
303,OfficeDepot,3130091,Technology|Office Machines|Shredders|Small/Medium Business Shredders,153615,Office Supplies|Office Equipment|Office Shredders,,,,,,,,,,,,,
303,OfficeDepot,3130077,Technology|Office Machines|Label Makers & Tapes,153614,Office Supplies|Office Equipment|Label Makers,,,,,,,,,,,,,
303,OfficeDepot,3130078,Technology|Office Machines|Label Makers & Tapes|Electronic & Automatic Label Makers,153614,Office Supplies|Office Equipment|Label Makers,,,,,,,,,,,,,
303,OfficeDepot,3130079,Technology|Office Machines|Label Makers & Tapes|Handheld Label Makers,153614,Office Supplies|Office Equipment|Label Makers,,,,,,,,,,,,,
303,OfficeDepot,3130070,Technology|Office Machines|Calculators,153612,Office Supplies|Office Equipment|Calculators,,,,,,,,,,,,,
303,OfficeDepot,3130072,Technology|Office Machines|Calculators|Display Calculators,153612,Office Supplies|Office Equipment|Calculators,,,,,,,,,,,,,
303,OfficeDepot,3130073,Technology|Office Machines|Calculators|Financial Calculators,153612,Office Supplies|Office Equipment|Calculators,,,,,,,,,,,,,
303,OfficeDepot,3130074,Technology|Office Machines|Calculators|Graphing Calculators,153612,Office Supplies|Office Equipment|Calculators,,,,,,,,,,,,,
303,OfficeDepot,3130075,Technology|Office Machines|Calculators|Printing Calculators,153612,Office Supplies|Office Equipment|Calculators,,,,,,,,,,,,,
303,OfficeDepot,3130076,Technology|Office Machines|Calculators|Scientific Calculators,153612,Office Supplies|Office Equipment|Calculators,,,,,,,,,,,,,
303,OfficeDepot,3130065,Technology|Office Machines,153611,Office Supplies|Office Equipment,near,,,,,,,,,,,,
303,OfficeDepot,3130092,Technology|Office Machines|Time Clocks,153611,Office Supplies|Office Equipment,far,,,,,,,,,,,,
303,OfficeDepot,3130093,Technology|Office Machines|Time Clocks|Time Card Racks,153611,Office Supplies|Office Equipment,far,,,,,,,,,,,,
303,OfficeDepot,3130095,Technology|Office Machines|Time Clocks|Time Clock Supplies,153611,Office Supplies|Office Equipment,far,,,,,,,,,,,,
303,OfficeDepot,3130096,Technology|Office Machines|Time Clocks|Time Clock Systems,153611,Office Supplies|Office Equipment,far,,,,,,,,,,,,
303,OfficeDepot,3130094,Technology|Office Machines|Time Clocks|Time Cards & Badges,153589,Office Supplies|General Supplies|Paper Products,far,,,,,,,,,,,,
303,OfficeDepot,3130080,Technology|Office Machines|Label Makers & Tapes|Label Maker Tapes,153585,Office Supplies|General Supplies|Labels & Tags|Label Tape,,,,,,,,,,,,,
303,OfficeDepot,3130071,Technology|Office Machines|Calculators|Calculator Supplies,153575,Office Supplies|General Supplies,near,,,,,,,,,,,,
303,OfficeDepot,3130082,Technology|Office Machines|Laminating|Laminating Machines,153572,Office Supplies|Filing & Organization|Laminating|Laminators,near,,,,,,,,,,,,
303,OfficeDepot,3130081,Technology|Office Machines|Laminating,153571,Office Supplies|Filing & Organization|Laminating,,,,,,,,,,,,,
303,OfficeDepot,3130083,Technology|Office Machines|Laminating|Laminating Supplies,153571,Office Supplies|Filing & Organization|Laminating,,,,,,,,,,,,,
303,OfficeDepot,3130023,Technology|Data Storage & Media|Media|Jewel Cases & Sleeves,153561,Office Supplies|Filing & Organization|CD/DVD Organizers|Jewel Cases,,,,,,,,,,,,,
303,OfficeDepot,3130068,Technology|Office Machines|Binding Equipment|Binding Covers,153557,Office Supplies|Filing & Organization|Binding Supplies|Report Covers,near,,,,,,,,,,,,
303,OfficeDepot,3130067,Technology|Office Machines|Binding Equipment|Binding Combs & Spines,153556,Office Supplies|Filing & Organization|Binding Supplies|Binding Combs & Spines,,,,,,,,,,,,,
303,OfficeDepot,3130069,Technology|Office Machines|Binding Equipment|Binding Systems,153555,Office Supplies|Filing & Organization|Binding Supplies|Binders,near,,,,,,,,,,,,
303,OfficeDepot,3130066,Technology|Office Machines|Binding Equipment,153550,Office Supplies|Filing & Organization|Binding Supplies,near,,,,,,,,,,,,
303,OfficeDepot,3130024,Technology|Data Storage & Media|Media|Multimedia Storage,153549,Office Supplies|Filing & Organization,far,,,,,,,,,,,,
303,OfficeDepot,3130147,Technology|Software|Books|Reference Books,153528,Media|Books|Non-Fiction|Reference Books,,,,,,,,,,,,,
303,OfficeDepot,3130146,Technology|Software|Books|Computer Books,153499,Media|Books|Non-Fiction|Computer Books,,,,,,,,,,,,,
303,OfficeDepot,3130145,Technology|Software|Books|Business & Lifestyle Books,153498,Media|Books|Non-Fiction|Business & Economics Books,,,,,,,,,,,,,
303,OfficeDepot,3130144,Technology|Software|Books,153484,Media|Books,,,,,,,,,,,,,
303,OfficeDepot,3130200,Technology|Computer & Tablet Accessories|Tablet Accessories|Tablet Cases & Sleeves,153435,Luggage & Bags|Business Bags|Electronics Bags & Cases|Tablet Computer Bags & Cases,,,,,,,,,,,,,
303,OfficeDepot,3131613,Technology|Computer & Tablet Accessories|Laptop Bags,153434,Luggage & Bags|Business Bags|Electronics Bags & Cases|Laptop Bags & Cases,,,,,,,,,,,,,
