clientid,name,Publisher taxonomyid,Publisher taxonomytext,globaltaxonomyid,Global taxonomytext
297,TheEntertainer,3126169,outdoor toys|play houses,154389,Toys & Games|Outdoor Play Equipment|Playhouses
297,TheEntertainer,3126170,outdoor toys|play houses|plastic playhouses,154389,Toys & Games|Outdoor Play Equipment|Playhouses
297,TheEntertainer,3126171,outdoor toys|play houses|tents,153904,"Sporting Goods|Outdoor Recreation|Camping, Backpacking & Hiking|Tents"
297,TheEntertainer,3126172,outdoor toys|pools and water toys,153421,Home & Garden|Pool & Spa|Pool & Spa Accessories|Pool Toys
297,TheEntertainer,3126173,outdoor toys|pools and water toys|paddling pools,153425,Home & Garden|Pool & Spa|Swimming Pools
297,TheEntertainer,3126174,outdoor toys|pools and water toys|paddling pools|pool inflatables toys,153417,Home & Garden|Pool & Spa|Pool & Spa Accessories|Pool Floats & Lounges
297,TheEntertainer,3126175,outdoor toys|pools and water toys|sand water tables,154393,Toys & Games|Outdoor Play Equipment|Water Tables
297,TheEntertainer,3126176,outdoor toys|pools and water toys|water toys blasters,154496,Toys & Games|Toys|Toy Weapons|Water Guns
297,TheEntertainer,3126177,outdoor toys|ride ons,154478,Toys & Games|Toys|Riding Toys
297,TheEntertainer,3126178,outdoor toys|ride ons|balance bikes,154480,Toys & Games|Toys|Riding Toys|Push & Pedal Riding Vehicles
297,TheEntertainer,3126179,outdoor toys|ride ons|tractors,154480,Toys & Games|Toys|Riding Toys|Push & Pedal Riding Vehicles
297,TheEntertainer,3126180,outdoor toys|ride ons|trikes,154480,Toys & Games|Toys|Riding Toys|Push & Pedal Riding Vehicles
297,TheEntertainer,3126181,outdoor toys|sandpits toys,154415,Toys & Games|Toys|Beach & Sand Toys
297,TheEntertainer,3126182,outdoor toys|sandpits toys|sand toys,154415,Toys & Games|Toys|Beach & Sand Toys
297,TheEntertainer,3126183,outdoor toys|sandpits toys|sandpits,154390,Toys & Games|Outdoor Play Equipment|Sandboxes
297,TheEntertainer,3126184,outdoor toys|skates and scooters,153861,Sporting Goods|Outdoor Recreation
297,TheEntertainer,3126185,outdoor toys|skates and scooters|roller skates and shoes,154111,Sporting Goods|Outdoor Recreation|Skating
297,TheEntertainer,3126186,outdoor toys|skates and scooters|roller skates and shoes|protective wear,154121,Sporting Goods|Outdoor Recreation|Skating|Skating Helmets & Pads
297,TheEntertainer,3126187,outdoor toys|skates and scooters|roller skates and shoes|roller shoes,154111,Sporting Goods|Outdoor Recreation|Skating
297,TheEntertainer,3126188,outdoor toys|skates and scooters|roller skates and shoes|roller skates,154118,Sporting Goods|Outdoor Recreation|Skating|Roller Skates
297,TheEntertainer,3126189,outdoor toys|skates and scooters|roller skates and shoes|roller skates|inline skates,154119,Sporting Goods|Outdoor Recreation|Skating|Roller Skates|Inline Skates
297,TheEntertainer,3126190,outdoor toys|skates and scooters|roller skates and shoes|roller skates|quad skates,154120,Sporting Goods|Outdoor Recreation|Skating|Roller Skates|Quad Skates
297,TheEntertainer,3126191,outdoor toys|skates and scooters|scooters,154059,Sporting Goods|Outdoor Recreation|Riding Scooters|Kick Scooters
297,TheEntertainer,3126192,outdoor toys|skates and scooters|scooters|2 wheel scotters,154059,Sporting Goods|Outdoor Recreation|Riding Scooters|Kick Scooters
297,TheEntertainer,3126193,outdoor toys|skates and scooters|scooters|3 wheel scooters,154059,Sporting Goods|Outdoor Recreation|Riding Scooters|Kick Scooters
297,TheEntertainer,3126194,outdoor toys|skates and scooters|scooters|stunt scooters,154059,Sporting Goods|Outdoor Recreation|Riding Scooters|Kick Scooters
297,TheEntertainer,3126195,outdoor toys|skates and scooters|skateboards,154110,Sporting Goods|Outdoor Recreation|Skateboarding|Skateboards
297,TheEntertainer,3126196,outdoor toys|sports toys,154482,Toys & Games|Toys|Sports Toys
297,TheEntertainer,3126197,outdoor toys|sports toys|football goals balls,154482,Toys & Games|Toys|Sports Toys
297,TheEntertainer,3126198,outdoor toys|trampolines,153860,Sporting Goods|Jumping|Trampolines
297,TheEntertainer,3126199,party|wrapping paper cards,150794,Arts & Entertainment|Party & Celebration|Gift Giving|Gift Wrapping
297,TheEntertainer,3126200,party|wrapping paper cards|cards,150799,Arts & Entertainment|Party & Celebration|Gift Giving|Greeting Cards
297,TheEntertainer,3126201,party|wrapping paper cards|gift wrap,150798,Arts & Entertainment|Party & Celebration|Gift Giving|Gift Wrapping|Wrapping Paper
297,TheEntertainer,3126202,playskool heroes|playskool heroes star wars jedi force,154423,"Toys & Games|Toys|Dolls, Playsets & Toy Figures"
297,TheEntertainer,3126203,playskool heroes|playskool marvel super hero adventures,154423,"Toys & Games|Toys|Dolls, Playsets & Toy Figures"
297,TheEntertainer,3126204,playskool|playskool friends my little pony,154427,"Toys & Games|Toys|Dolls, Playsets & Toy Figures|Animal Figures|Horse & Pony Figures"
297,TheEntertainer,3125997,pre order,-10,Unmapped SKUs|All|Misc. Uncategorized
297,TheEntertainer,3126205,stem toys|engineering,154436,Toys & Games|Toys|Educational Toys
297,TheEntertainer,3126206,stem toys|science,154440,Toys & Games|Toys|Educational Toys|Science Sets
